Id;Species;Accession Name;Origine Continent;Type (Wild/Cultivated);Sowing_Localisation;Replicate_nb (1/2);Plant_nb (1 to 3);Panicle_nb (1 to 3);Rachis_length (RL in cm);Primary Branch Number (PBN);Average of Primary Branch length in cm (PBL);Average of Internode along Primary Branch in cm (PBIL);Secondary Branch Number (SBN);Average of Secondary Branch length in cm (SBL);Average of Internode along secondary Branch in cm  (SBIL);Tertiary Branch Number (TBN);Spikelet Number (SpN)
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;1;3;3;8.42;5;6.71;2.11;0;0;0;0;29
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;2;1;1;5.79;4;11.4;1.93;3;3.14;2.06;0;34
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;2;1;2;8.87;5;9.87;2.22;2;2.32;2.08;0;37
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;2;1;3;6.2;4;9.88;2.07;3;2.65;2.08;0;32
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;2;2;1;7.25;4;9.32;2.42;2;3.31;1.79;0;30
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;2;2;2;9.73;5;8.53;2.43;0;0;0;0;30
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;2;2;3;8.81;5;8.34;2.2;0;0;0;0;30
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;2;3;1;7.18;4;9.3;2.39;1;3.13;1.55;0;26
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;2;3;2;7.28;5;8.99;1.82;3;2.7;2.21;0;32
Ob07;Ob;B64;Africa;Wild;Cali-Colombia;2;3;3;7.27;4;9.85;2.42;2;3.12;1.99;0;30
Ob08;Ob;B48;Africa;Wild;Cali-Colombia;1;1;1;11.51;7;7.99;1.92;6;2.03;0.63;0;63
Ob08;Ob;B48;Africa;Wild;Cali-Colombia;1;1;2;12.18;8;5.95;1.74;4;1.4;0.78;0;55
Ob08;Ob;B48;Africa;Wild;Cali-Colombia;1;1;3;10.21;6;7.56;2.04;5;1.75;1.02;0;50
Ob08;Ob;B48;Africa;Wild;Cali-Colombia;1;2;1;9.09;6;8.15;1.82;10;1.78;0.6;0;62
Ob08;Ob;B48;Africa;Wild;Cali-Colombia;1;2;2;10.04;6;7.09;2.01;3;1.87;0.6;0;45
Ob08;Ob;B48;Africa;Wild;Cali-Colombia;1;2;3;9.6;6;8.53;1.92;7;2.26;1.03;0;59
Ob08;Ob;B48;Africa;Wild;Cali-Colombia;2;1;1;5.41;4;11.35;1.8;13;2.77;0.47;0;73
Ob08;Ob;B48;Africa;Wild;Cali-Colombia;2;1;2;10.02;6;9.64;2;8;2.4;0.94;0;66
Ob08;Ob;B48;Africa;Wild;Cali-Colombia;2;1;3;5.56;4;10.49;1.85;8;2.33;0.57;0;50
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;1;1;2;5.5;4;4.93;1.84;0;0;0;0;22
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;1;1;2;5.31;4;3.93;1.77;0;0;0;0;18
